County,Population_2019,Poverty_Rate_%,Poor_People_000s,GCP_2020_Ksh_Million,GCP_2021_Ksh_Million,GCP_2022_Ksh_Million,Geographic_Size_Sq_Kms,Population_Index_%,Equal_Share_Index_%,Poverty_Index_%,Income_Distance_Index_%,Geographic_Size_Index_%,Stabilisation_Factor,Allocation_Factor_%,Third_Basis_2024_25_Allocation_Ksh_Million,Fourth_Basis_2025_26_Allocation_Ksh_Million
Baringo,666763,46.9,334,75459,85220,93334,10976,1.40,2.13,1.7,2.38,1.97,0.97,1.72,6684,7185
Bomet,875689,47.1,441,151153,167404,194798,2531,1.84,2.13,2.2,2.09,0.45,0.97,1.80,7015,7528
Bungoma,1670570,49.2,880,205542,224815,255699,3024,3.51,2.13,4.4,2.34,0.54,0.97,2.82,11171,11766
Busia,893681,52.7,502,88731,99351,115548,1696,1.88,2.13,2.5,2.44,0.30,0.97,1.89,7515,7893
Elgeyo-Marakwet,454480,53.0,258,117229,130394,120745,3032,0.96,2.13,1.3,1.77,0.54,0.97,1.29,4827,5374
Embu,608599,24.3,158,149912,166292,187934,2821,1.28,2.13,0.8,1.74,0.51,0.97,1.35,5370,5616
Garissa,841353,67.8,607,58634,65788,68481,44736,1.77,2.13,3.0,2.59,8.02,0.97,2.61,8290,10894
Homa-Bay,1131950,28.2,340,120751,147449,162195,3153,2.38,2.13,1.7,2.38,0.57,0.99,2.04,8170,8536
Isiolo,268002,55.6,157,26555,29616,31486,25351,0.56,2.13,0.8,2.45,4.54,0.97,1.50,4924,6241
Kajiado,1117840,37.3,443,150709,159737,187411,21871,2.35,2.13,2.2,2.29,3.92,0.97,2.34,8345,9767
Kakamega,1867579,38.2,764,214365,245768,276484,3020,3.93,2.13,3.8,2.36,0.54,1.08,3.25,12981,13562
Kericho,901777,47.8,461,163543,182708,204443,2436,1.90,2.13,2.3,2.05,0.44,0.97,1.83,6738,7653
Kiambu,2417735,19.9,513,554515,622560,721205,2539,5.08,2.13,2.5,1.81,0.46,0.97,3.14,12294,13094
