County,Allocation_Index_%,FY_2025_26_Ksh_Million,FY_2026_27_Ksh_Million,FY_2027_28_Ksh_Million,FY_2028_29_Ksh_Million,FY_2029_30_Ksh_Million,Total_5_Year_Ksh_Million,Average_Annual_Ksh_Million
Baringo,1.72,7185,7544,7921,8317,8733,39700,7940
Bomet,1.8,7528,7904,8300,8714,9150,41596,8319
Bungoma,2.82,11766,12354,12972,13620,14302,65014,13003
Busia,1.89,7893,8288,8702,9137,9594,43614,8723
Elgeyo-Marakwet,1.29,5374,5643,5925,6221,6532,29695,5939
Embu,1.35,5616,5897,6192,6501,6826,31032,6206
Garissa,2.61,10894,11439,12011,12611,13242,60197,12039
Homa-Bay,2.04,8536,8963,9411,9881,10376,47167,9433
Isiolo,1.5,6241,6553,6881,7225,7586,34486,6897
Kajiado,2.34,9767,10255,10768,11306,11872,53968,10794
Kakamega,3.25,13562,14240,14952,15699,16485,74938,14988
Kericho,1.83,7653,8036,8437,8859,9302,42287,8457
Kiambu,3.14,13094,13749,14436,15158,15916,72353,14471
Kilifi,3.05,12715,13351,14018,14719,15455,70258,14052
Kirinyaga,1.36,5693,5978,6277,6590,6920,31458,6292
Kisii,2.33,9723,10209,10720,11255,11818,53725,10745
Kisumu,2.1,8782,9221,9682,10166,10675,48526,9705
Kitui,2.72,11374,11943,12540,13167,13825,62849,12570
Kwale,2.16,9012,9463,9936,10432,10954,49797,9959
Laikipia,1.45,6039,6341,6658,6991,7340,33369,6674
Lamu,0.94,3935,4132,4338,4555,4783,21743,4349
Machakos,2.4,10027,10528,11055,11607,12188,55405,11081
Makueni,2.13,8878,9322,9788,10277,10791,49056,9811
Mandera,2.93,12214,12825,13466,14139,14846,67490,13498
Marsabit,2.26,9427,9898,10393,10913,11459,52090,10418
Meru,2.5,10454,10977,11526,12102,12707,57766,11553
Migori,2.12,8838,9280,9744,10231,10743,48836,9767
Mombasa,1.98,8253,8666,9099,9554,10032,45604,9121
Muranga,1.88,7852,8245,8657,9089,9544,43387,8677
Nairobi City,5.05,21082,22136,23243,24405,25625,116491,23298
Nakuru,3.42,14279,14993,15743,16529,17356,78900,15780
Nandi,1.84,7675,8059,8462,8885,9329,42410,8482
Narok,2.31,9656,10139,10646,11178,11737,53356,10671
Nyamira,1.41,5885,6179,6488,6812,7153,32517,6503
Nyandarua,1.49,6202,6512,6838,7179,7539,34270,6854
Nyeri,1.63,6811,7152,7509,7884,8279,37635,7527
Samburu,1.52,6352,6670,7003,7353,7721,35099,7020
Siaya,1.92,8019,8420,8841,9283,9747,44310,8862
Taita-Taveta,1.37,5711,5997,6296,6611,6942,31557,6311
Tana-River,1.78,7433,7805,8195,8604,9035,41072,8214
Tharaka-Nithi,1.2,5028,5279,5543,5820,6112,27782,5556
Trans-Nzoia,1.89,7878,8272,8685,9120,9576,43531,8706
Turkana,3.31,13805,14495,15220,15981,16780,76281,15256
Uasin-Gishu,2.12,8852,9295,9759,10247,10760,48913,9783
Vihiga,1.46,6077,6381,6700,7035,7387,33580,6716
Wajir,2.7,11283,11847,12440,13061,13714,62345,12469
West Pokot,1.69,7070,7424,7795,8184,8594,39067,7813
TOTAL,100.00,417423,438299,460211,483207,507382,2306522,461304
